Date,open,high,low,close,volume
20-11-2022,5.599,5.669,5.219,5.305,376330.495
21-11-2022,5.305,5.319,5.043,5.179,639401.143
22-11-2022,5.191,5.332,5.011,5.301,528289.735
23-11-2022,5.275,5.5,5.242,5.422,411925.691
24-11-2022,5.418,5.541,5.321,5.379,356330.874
25-11-2022,5.395,5.403,5.231,5.271,269851.389
26-11-2022,5.257,5.469,5.232,5.31,286348.835
27-11-2022,5.285,5.451,5.261,5.288,225694.582
28-11-2022,5.312,5.339,5.045,5.13,499891.729
29-11-2022,5.143,5.378,5.072,5.297,385708.279
30-11-2022,5.313,5.52,5.293,5.487,468438.673
01-12-2022,5.487,5.505,5.302,5.413,394122.992
02-12-2022,5.413,5.719,5.352,5.604,645233.571
03-12-2022,5.639,5.719,5.47,5.507,362747.395
04-12-2022,5.507,5.627,5.485,5.615,259036.986
05-12-2022,5.581,5.742,5.424,5.478,355871.564
06-12-2022,5.492,5.534,5.402,5.472,268575.942
07-12-2022,5.472,5.549,5.222,5.28,482860.9
08-12-2022,5.304,5.466,5.237,5.45,381821.533
09-12-2022,5.42,5.45,5.235,5.289,254527.539
10-12-2022,5.289,5.317,5.239,5.256,123906.623
11-12-2022,5.256,5.323,5.132,5.16,208736.708
12-12-2022,5.16,5.203,5.002,5.169,365373.87
13-12-2022,5.169,5.35,5.001,5.266,449957.124
14-12-2022,5.266,5.358,5.154,5.2,549985.011
15-12-2022,5.21,5.262,5.111,5.225,398249.863
16-12-2022,5.23,5.259,4.511,4.654,635946.13
17-12-2022,4.654,4.732,4.573,4.727,460002.494
18-12-2022,4.703,4.734,4.614,4.65,274738.825
19-12-2022,4.675,4.713,4.404,4.486,469424.138
20-12-2022,4.486,4.653,4.453,4.605,327313.482
21-12-2022,4.615,4.618,4.434,4.487,272985.47
22-12-2022,4.482,4.554,4.363,4.539,294470.612
23-12-2022,4.529,4.563,4.449,4.477,262107.347
24-12-2022,4.459,4.54,4.426,4.454,130920.077
25-12-2022,4.454,4.503,4.379,4.491,170470.542
26-12-2022,4.491,4.585,4.462,4.577,195588.678
27-12-2022,4.568,4.585,4.433,4.474,256132.982
28-12-2022,4.482,4.497,4.241,4.29,485757.477
29-12-2022,4.278,4.364,4.215,4.315,245814.809
30-12-2022,4.315,4.352,4.221,4.321,203449.812
31-12-2022,4.328,4.395,4.284,4.291,149298.003
01-01-2023,4.291,4.394,4.262,4.373,133700.612
02-01-2023,4.373,4.545,4.307,4.499,311634.412
03-01-2023,4.499,4.561,4.453,4.524,195501.588
04-01-2023,4.53,4.694,4.519,4.634,308910.46
05-01-2023,4.629,4.673,4.543,4.627,289027.906
06-01-2023,4.627,4.722,4.551,4.679,323773.367
07-01-2023,4.679,4.716,4.631,4.653,159216.394
08-01-2023,4.653,4.832,4.604,4.81,286920.185
09-01-2023,4.813,5.091,4.798,4.898,599370.433
10-01-2023,4.872,4.977,4.811,4.923,289501.603
11-01-2023,4.917,5.154,4.823,5.143,446739.204
12-01-2023,5.143,5.27,5.008,5.234,582698.208
13-01-2023,5.231,5.427,5.153,5.402,475821.647
14-01-2023,5.397,6.534,5.391,6.031,1336564.418
15-01-2023,6.031,6.073,5.76,5.933,577103.936
16-01-2023,5.933,6.098,5.615,5.814,716932.924
17-01-2023,5.803,6.213,5.687,5.956,756433.714
18-01-2023,5.95,6.229,5.588,5.642,901922.174
19-01-2023,5.642,5.854,5.639,5.81,334234.587
20-01-2023,5.81,6.297,5.75,6.254,534577.676
21-01-2023,6.248,6.465,6.001,6.234,781532.675
22-01-2023,6.234,6.469,6.068,6.199,566599.946
23-01-2023,6.199,6.836,6.19,6.575,993933.566
24-01-2023,6.548,6.71,6.107,6.184,597831.633
25-01-2023,6.184,6.568,6.004,6.382,732848.945
26-01-2023,6.382,6.564,6.297,6.46,666048.436
27-01-2023,6.46,6.624,6.279,6.586,528069.282
28-01-2023,6.582,6.672,6.321,6.385,384670.814
29-01-2023,6.385,6.715,6.326,6.614,470553.94
30-01-2023,6.607,6.657,6.015,6.179,526039.028
31-01-2023,6.191,6.34,6.138,6.264,376126.461
01-02-2023,6.264,6.499,6.018,6.455,562939.426
02-02-2023,6.466,6.897,6.44,6.528,777636.046
03-02-2023,6.528,7.128,6.496,7.014,955922.252
04-02-2023,6.998,7.079,6.817,6.866,376823.988
05-02-2023,6.866,6.895,6.512,6.652,491918.591
06-02-2023,6.652,6.796,6.416,6.487,468526.205
07-02-2023,6.487,6.957,6.466,6.936,547471.321
08-02-2023,6.942,7.019,6.61,6.745,479400.585
09-02-2023,6.745,6.999,6.082,6.241,1011033.601
10-02-2023,6.241,6.322,6.112,6.177,497234.417
11-02-2023,6.177,6.294,6.15,6.281,174077.957
12-02-2023,6.27,6.392,6.071,6.188,237318.452
13-02-2023,6.188,6.257,5.875,6.127,638336.776
14-02-2023,6.149,6.275,6.003,6.222,526213.399
15-02-2023,6.229,6.618,6.144,6.61,653096.948
16-02-2023,6.61,6.747,6.317,6.337,901557.97
17-02-2023,6.323,7.415,6.28,7.276,1619640.45
18-02-2023,7.291,7.38,7.095,7.227,792726.804
19-02-2023,7.227,7.889,7.184,7.452,1400292.327
20-02-2023,7.452,7.573,7.247,7.543,774240.464
21-02-2023,7.543,7.58,7.115,7.254,661964.316
22-02-2023,7.24,7.282,6.875,7.181,741146.342
23-02-2023,7.192,7.388,7.014,7.083,587874.716
24-02-2023,7.097,7.155,6.458,6.622,711226.375
25-02-2023,6.612,6.654,6.335,6.539,345871.722
26-02-2023,6.539,6.741,6.5,6.673,334080.509
27-02-2023,6.673,6.792,6.476,6.579,439737.387
28-02-2023,6.579,6.602,6.268,6.335,414223.847
01-03-2023,6.335,6.601,6.299,6.545,430829.684
02-03-2023,6.545,6.56,6.217,6.322,297231.689
03-03-2023,6.336,6.339,5.789,6.028,498069.839
